Codigo;Pais;orden
276;Alemania;1
40;Austria;2
56;Belgica;3
203;Rep. Checa;4
196;Chipre;5
208;Dinamarca;6
703;Rep. Eslovaca;7
705;Eslovenia;8
233;Estonia;9
246;Finlandia;10
250;Francia;11
300;Grecia;12
528;Holanda;13
348;Hungria;14
372;Irlanda;15
352;Islandia;16
380;Italia;17
428;Letonia;18
438;Liechtenstein;19
440;Lituania;20
442;Luxembuergo;21
470;Malta;22
578;Noruega;23
616;Polonia;24
620;Portugal;25
826;Reino Unido;26
752;Suecia;27
100;Bulgaria;28
642;Rumania;29
